"segment_id","user_id","user_ext_id","fact_type_id","resource_type_id"
15117,153510863,"64152515",5,3
15117,153915961,"64237409",5,3
15117,149514818,"63473220",5,3
15117,148105168,"63062130",5,3
15117,155287264,"64559872",5,3
15117,150937421,"63746912",5,3
15117,152058664,"63904664",5,3
15117,155113068,"64547774",5,3
15117,149728108,"63545726",5,3
15117,153380305,"64130442",5,3
15117,150111151,"63623923",5,3
15117,148585266,"63173012",5,3
15117,150116152,"63625220",5,3
15117,152446063,"63971910",5,3
15117,148521351,"63155379",5,3
15117,150207273,"63646577",5,3
15117,148531412,"63157940",5,3
15117,149136841,"63332114",5,3
15117,149533757,"63480836",5,3
15117,148626754,"63181515",5,3
15117,153567266,"64164472",5,3
15117,152022294,"63896582",5,3
15117,153537981,"64157467",5,3
15117,153681221,"64188369",5,3
15117,152218454,"63934038",5,3
15117,152450366,"63972687",5,3
15117,152099619,"63913044",5,3
15117,151338103,"63765552",5,3
15117,151569045,"63809888",5,3
15117,154328013,"64311243",5,3
15117,152569380,"63993103",5,3
15117,152663219,"64010170",5,3
15117,149607516,"63507778",5,3
15117,149187208,"63351132",5,3
15117,153604181,"64172424",5,3
15117,149560824,"63491206",5,3
15117,153417074,"64136323",5,3
15117,147658839,"62981927",5,3
15117,150952154,"63750294",5,3
15117,149030969,"63297116",5,3
15117,151389844,"63774007",5,3
15117,150120035,"63626427",5,3
15117,154466101,"64415810",5,3
15117,153952433,"64243954",5,3
15117,152677848,"64012434",5,3
15117,150753420,"63706499",5,3
15117,153320580,"64121329",5,3
15117,149923679,"63590383",5,3
15117,148879159,"63251703",5,3
15117,149574431,"63496194",5,3
15117,149418442,"63441882",5,3
15117,43166338,"9013618",5,3
15117,149419498,"63442410",5,3
15117,150811719,"63719558",5,3
15117,149427746,"63446430",5,3
15117,149183194,"63349609",5,3
15117,150240322,"63653246",5,3
15117,149064234,"63309094",5,3
15117,149942423,"63594747",5,3
15117,149932600,"63592350",5,3
15117,150681689,"63689532",5,3
15117,153516869,"64153699",5,3
15117,149044374,"63301971",5,3
15117,155427230,"64577741",5,3
15117,147970322,"63034483",5,3
15117,151763603,"63845618",5,3
15117,148910784,"63261273",5,3
15117,148409242,"63127070",5,3
15117,148137649,"63070622",5,3
15117,152367531,"63952462",5,3
15117,153685454,"64189410",5,3
15117,155056254,"64535142",5,3
15117,149534084,"63480974",5,3
15117,151480377,"63790333",5,3
15117,149741603,"63550191",5,3
15117,149332036,"63405386",5,3
15117,149552701,"63488269",5,3
15117,154506210,"64424380",5,3
15117,152993254,"64073233",5,3
15117,151414737,"63778354",5,3
15117,156067694,"64660857",5,3
15117,149209298,"63359658",5,3
15117,151470973,"63788205",5,3
15117,146940393,"62834268",5,3
15117,149639568,"63519207",5,3
15117,153271495,"64113544",5,3
15117,148415223,"63128766",5,3
15117,148604761,"63178060",5,3
15117,148702432,"63203723",5,3
15117,149482856,"63464501",5,3
15117,149328625,"63404382",5,3
15117,149961668,"63600610",5,3
15117,151951225,"63881322",5,3
15117,143393261,"62029323",5,3
15117,120893806,"56423235",5,3
15117,149238820,"63371502",5,3
15117,144053126,"62137014",5,3
15117,156084620,"64665226",5,3
15117,149159627,"63340336",5,3
15117,151577683,"63811795",5,3
15117,149648858,"63522352",5,3
15117,148772695,"63222657",5,3
15117,149572815,"63495712",5,3
15117,153299697,"64118334",5,3
15117,147427312,"62935262",5,3
15117,150161090,"63634302",5,3
15117,154736537,"64466731",5,3
15117,155106960,"64546487",5,3
15117,151797393,"63850456",5,3
15117,149946240,"63595755",5,3
15117,148578500,"63170951",5,3
15117,43207214,"10733913",5,3
15117,152385512,"63954662",5,3
15117,153482657,"64147481",5,3
15117,150256523,"63657531",5,3
15117,150867793,"63732283",5,3
15117,151606813,"63816792",5,3
15117,150803979,"63717962",5,3
15117,149425772,"63445143",5,3
15117,154606064,"64446819",5,3
15117,61261885,"44605347",5,3
15117,151590064,"63813904",5,3
15117,149616870,"63510963",5,3
15117,76829408,"46885710",5,3
15117,149454904,"63455380",5,3
15117,150676210,"63688160",5,3
