"audience_name","event_date","user_id","raw_value"
Novo Cashback - 16/12,2024-12-18,106782476,108.00
Novo Cashback - 16/12,2024-12-18,151689318,10.00
Novo Cashback - 16/12,2024-12-18,148577453,80.00
Novo Cashback - 16/12,2024-12-18,148691196,150.00
Novo Cashback - 16/12,2024-12-18,156411941,69.00
Novo Cashback - 16/12,2024-12-18,156719416,50.00
Novo Cashback - 16/12,2024-12-18,149926364,50.00
Novo Cashback - 16/12,2024-12-18,141703153,20.00
Novo Cashback - 16/12,2024-12-18,149413243,20.00
Novo Cashback - 16/12,2024-12-18,153738612,60.00
Novo Cashback - 16/12,2024-12-18,102238712,30.00
Novo Cashback - 16/12,2024-12-18,44576822,50.00
Novo Cashback - 16/12,2024-12-18,152056781,125.00
Novo Cashback - 16/12,2024-12-18,153411969,300.00
Novo Cashback - 16/12,2024-12-18,57235074,20.00
Novo Cashback - 16/12,2024-12-18,147528033,20.00
Novo Cashback - 16/12,2024-12-18,156720240,10.00
Novo Cashback - 16/12,2024-12-18,151698250,23.00
Novo Cashback - 16/12,2024-12-18,117368050,30.00
Novo Cashback - 16/12,2024-12-18,48353286,10.00
Novo Cashback - 16/12,2024-12-18,149462276,50.00
Novo Cashback - 16/12,2024-12-18,43492899,40.00
Novo Cashback - 16/12,2024-12-18,151844599,10.00
Novo Cashback - 16/12,2024-12-18,153953294,100.00
Novo Cashback - 16/12,2024-12-18,156622233,60.00
Novo Cashback - 16/12,2024-12-18,150813467,50.00
Novo Cashback - 16/12,2024-12-18,43514295,7.00
Novo Cashback - 16/12,2024-12-18,152369778,30.00
Novo Cashback - 16/12,2024-12-18,137106172,10.00
Novo Cashback - 16/12,2024-12-18,156085201,40.00
Novo Cashback - 16/12,2024-12-18,119513131,5.00
Novo Cashback - 16/12,2024-12-18,43189932,30.00
Novo Cashback - 16/12,2024-12-18,149609043,100.00
Novo Cashback - 16/12,2024-12-18,149733386,24.00
Novo Cashback - 16/12,2024-12-18,156668884,30.00
Novo Cashback - 16/12,2024-12-18,43580516,68.00
Novo Cashback - 16/12,2024-12-18,106264243,20.00
Novo Cashback - 16/12,2024-12-18,43307081,50.00
Novo Cashback - 16/12,2024-12-18,144660012,30.00
Novo Cashback - 16/12,2024-12-18,147458186,5.00
Novo Cashback - 16/12,2024-12-18,149787902,50.00
Novo Cashback - 16/12,2024-12-18,149489930,30.00
Novo Cashback - 16/12,2024-12-18,150073001,6.00
Novo Cashback - 16/12,2024-12-18,53567710,20.00
Novo Cashback - 16/12,2024-12-18,130198969,20.00
Novo Cashback - 16/12,2024-12-18,152358142,20.00
Novo Cashback - 16/12,2024-12-18,43488516,10.00
Novo Cashback - 16/12,2024-12-18,149491198,50.00
Novo Cashback - 16/12,2024-12-18,149624597,10.00
Novo Cashback - 16/12,2024-12-18,149004788,27.00
Novo Cashback - 16/12,2024-12-18,150690450,20.00
Novo Cashback - 16/12,2024-12-18,148922594,13.00
Novo Cashback - 16/12,2024-12-18,156181844,35.00
Novo Cashback - 16/12,2024-12-18,147433168,30.00
Novo Cashback - 16/12,2024-12-18,149362926,300.00
Novo Cashback - 16/12,2024-12-18,99410777,20.00
Novo Cashback - 16/12,2024-12-18,148604034,200.00
Novo Cashback - 16/12,2024-12-18,43453545,10.00
Novo Cashback - 16/12,2024-12-18,151297393,10.00
Novo Cashback - 16/12,2024-12-18,156989208,5.00
Novo Cashback - 16/12,2024-12-18,144939596,20.00
Novo Cashback - 16/12,2024-12-18,149433826,18.00
Novo Cashback - 16/12,2024-12-18,147440713,20.00
Novo Cashback - 16/12,2024-12-18,117872520,20.00
Novo Cashback - 16/12,2024-12-18,149512651,100.00
Novo Cashback - 16/12,2024-12-18,156384935,5.00
Novo Cashback - 16/12,2024-12-18,149118912,600.00
Novo Cashback - 16/12,2024-12-18,156436340,50.00
Novo Cashback - 16/12,2024-12-18,60631523,30.00
Novo Cashback - 16/12,2024-12-18,153774875,20.00
Novo Cashback - 16/12,2024-12-18,148449407,16.00
Novo Cashback - 16/12,2024-12-18,43406748,30.00
Novo Cashback - 16/12,2024-12-18,150251880,100.00
Novo Cashback - 16/12,2024-12-18,149766755,100.00
Novo Cashback - 16/12,2024-12-18,149923541,80.00
Novo Cashback - 16/12,2024-12-18,148756605,60.00
Novo Cashback - 16/12,2024-12-18,148654398,20.00
Novo Cashback - 16/12,2024-12-18,153479143,10.00
Novo Cashback - 16/12,2024-12-18,147499413,100.00
Novo Cashback - 16/12,2024-12-18,154043745,50.00
Novo Cashback - 16/12,2024-12-18,45794684,30.00
Novo Cashback - 16/12,2024-12-18,147426302,30.00
Novo Cashback - 16/12,2024-12-18,130192310,20.00
Novo Cashback - 16/12,2024-12-18,153701589,67.00
Novo Cashback - 16/12,2024-12-18,156889290,100.00
Novo Cashback - 16/12,2024-12-18,151793098,150.00
Novo Cashback - 16/12,2024-12-18,128502445,25.00
Novo Cashback - 16/12,2024-12-18,120927825,36.00
Novo Cashback - 16/12,2024-12-18,43907612,6.00
Novo Cashback - 16/12,2024-12-18,149800032,20.00
Novo Cashback - 16/12,2024-12-18,107302250,60.00
Novo Cashback - 16/12,2024-12-18,148860790,50.00
Novo Cashback - 16/12,2024-12-18,150359426,20.00
Novo Cashback - 16/12,2024-12-18,156359688,29.00
Novo Cashback - 16/12,2024-12-18,138522297,50.00
Novo Cashback - 16/12,2024-12-18,61245082,31.00
Novo Cashback - 16/12,2024-12-18,43406225,15.00
Novo Cashback - 16/12,2024-12-18,157044902,15.00
Novo Cashback - 16/12,2024-12-18,43171796,10.00
Novo Cashback - 16/12,2024-12-17,149550930,30.00
