"audience_name","event_date","user_id","raw_value"
Novo Cashback - 16/12,2024-12-16 21:27:40.000,43185795,280.
Novo Cashback - 16/12,2024-12-17 00:08:25.000,43243910,100.00
Novo Cashback - 16/12,2024-12-16 21:23:45.000,43182137,80.00
Novo Cashback - 16/12,2024-12-16 23:59:10.000,43278814,66.00
Novo Cashback - 16/12,2024-12-16 21:28:05.000,43166341,60.00
Novo Cashback - 16/12,2024-12-16 21:31:45.000,43232280,58.00
Novo Cashback - 16/12,2024-12-17 01:26:25.000,43295672,50.00
Novo Cashback - 16/12,2024-12-17 04:03:03.000,43175615,50.00
Novo Cashback - 16/12,2024-12-17 09:54:05.000,43194723,49.00
Novo Cashback - 16/12,2024-12-17 02:16:31.000,43166485,47.00
Novo Cashback - 16/12,2024-12-17 08:04:15.000,43290600,40.00
Novo Cashback - 16/12,2024-12-16 22:45:06.000,43216909,35.00
Novo Cashback - 16/12,2024-12-16 22:32:51.000,43218317,30.00
Novo Cashback - 16/12,2024-12-16 22:52:58.000,43191335,28.00
Novo Cashback - 16/12,2024-12-17 12:38:15.000,43296782,25.00
Novo Cashback - 16/12,2024-12-16 22:05:07.000,43209017,20.00
Novo Cashback - 16/12,2024-12-16 22:49:40.000,43287357,20.00
Novo Cashback - 16/12,2024-12-16 23:32:06.000,43210028,15.00
Novo Cashback - 16/12,2024-12-17 00:03:40.000,43186068,10.00
Novo Cashback - 16/12,2024-12-16 22:36:33.000,43211162,10.00
Novo Cashback - 16/12,2024-12-17 01:51:04.000,43174178,10.00
Novo Cashback - 16/12,2024-12-16 23:46:08.000,43212456,10.00
Novo Cashback - 16/12,2024-12-17 00:16:31.000,43286345,10.00
Novo Cashback - 16/12,2024-12-17 10:33:03.000,43279688,10.00
Novo Cashback - 16/12,2024-12-17 00:19:42.000,43202485,8.00
Novo Cashback - 16/12,2024-12-16 21:59:04.000,43237337,5.00
Novo Cashback - 16/12,2024-12-16 22:50:28.000,43216292,5.00
